County,Population,Province
Dublin,"2313169",Leinster
Antrim,"618108",Ulster
Cork,"581231",Munster
Down,"531665",Ulster
Galway,"276451",Connacht
Londonderry,"247132",Ulster
Kildare,"246977",Leinster
Meath,"220296",Leinster
Limerick,"205444",Munster
Tyrone,"179000",Ulster
Armagh,"174792",Ulster
Tipperary,"167661",Munster
Donegal,"166321",Ulster
Wexford,"163527",Leinster
Wicklow,"155485",Leinster
Kerry,"155258",Munster
Louth,"139100",Leinster
Mayo,"137231",Connacht
Clare,"127419",Munster
Waterford,"127085",Munster
Kilkenny,"103685",Leinster
Westmeath,"95840",Leinster
Laois,"91657",Leinster
Offaly,"82668",Leinster
Cavan,"81201",Ulster
Roscommon,"69995",Connacht
Sligo,"69819",Connacht
Monaghan,"64832",Ulster
Fermanagh,"61170",Ulster
Carlow,"61931",Leinster
Longford,"46634",Leinster
Leitrim,"35087",Connacht
